scenario_id,scenario_source,stage,selection_mode,status,objective_score,coherence_cv,topic_diversity,runtime_seconds,num_topics,num_outliers,outlier_pct,reduce_outliers_active,screening_objective_score
bertopic_grid_002,grid,rerank_reduce_outliers,two_stage_rerank,ok,0.64139,0.4722,0.9556,105.7,9,0,0.0,True,0.510148
bertopic_grid_004,grid,rerank_reduce_outliers,two_stage_rerank,ok,0.63911,0.5161,0.8714,88.25,7,1,0.21,True,0.456824
bertopic_preset_fine_grained,preset,rerank_reduce_outliers,two_stage_rerank,ok,0.61634,0.4713,0.8857,92.72,7,0,0.0,True,0.447542
bertopic_grid_001,grid,rerank_reduce_outliers,two_stage_rerank,ok,0.58927,0.41,0.9222,102.08,9,0,0.0,True,0.475367
bertopic_preset_default,preset,rerank_reduce_outliers,two_stage_rerank,ok,0.551695,0.3257,0.9714,89.7,7,0,0.0,True,0.427085
bertopic_grid_002,grid,screening,two_stage_rerank,ok,0.510148,0.5022,0.9667,84.38,9,110,23.26,False,
bertopic_grid_001,grid,screening,two_stage_rerank,ok,0.475367,0.4557,0.9333,78.83,9,112,23.68,False,
bertopic_grid_004,grid,screening,two_stage_rerank,ok,0.456824,0.4234,0.9429,71.71,7,116,24.52,False,
bertopic_preset_fine_grained,preset,screening,two_stage_rerank,ok,0.447542,0.4563,0.8857,86.94,7,124,26.22,False,
bertopic_preset_default,preset,screening,two_stage_rerank,ok,0.427085,0.3804,0.9286,274.59,7,120,25.37,False,
bertopic_grid_005,grid,screening,two_stage_rerank,ok,0.419616,0.403,0.9,31.0,9,129,27.27,False,
bertopic_grid_003,grid,screening,two_stage_rerank,ok,0.391971,0.3892,0.9222,79.65,9,151,31.92,False,
bertopic_grid_006,grid,screening,two_stage_rerank,ok,0.387329,0.4514,0.9667,67.97,6,183,38.69,False,
bertopic_preset_coarse,preset,screening,two_stage_rerank,ok,0.374673,0.4305,0.9111,58.23,9,177,37.42,False,
