Topic,Timestamp,Frequency,Words
0,2018,16,"pendukung keputusan, kesehatan tanah, kinerja, pupuk organik, tugas"
0,2019,10,"program kerja, produksi, kinerja, blocplan, dinas perhubungan"
0,2020,5,"organisasi, tanaman hidroponik, hidroponik pintar, nutrisi tanaman, tiket shuttle"
0,2021,12,"website, risiko, universitas jenderal, unsoed, pembelian"
0,2022,21,"pengelolaan studi, teknik, arsitektur, mobil, jenderal soedirman"
0,2023,19,"desa, mandiri mocaf, monitoring, berhasil, prototype aplikasi"
0,2024,48,"berbasis website, rekomendasi, kinerja, implementasi, karyawan"
0,2025,63,"laravel, performa, implementasi, berbasis website, kinerja"
0,2026,19,"implementasi, performa, kinerja, laravel, evaluasi"
1,2018,17,"penjualan, bus, berbasis web, waterfall, transaksi"
1,2019,18,"berbasis web, mobil, penjualan, mysql, pemrograman php"
1,2020,12,"penjualan, web, waterfall, rosalia indah, bank sampah"
1,2021,21,"penjualan, mysql, umkm, pengembangan waterfall, transaksi"
1,2022,12,"cloud, pemesanan penjualan, dibangun, purwokerto, alat"
1,2023,12,"penjualan, berbasis website, umkm, purbalingga, bumdes"
1,2024,5,"transaksi, barang, pengembangan aplikasi, kebutuhan logistik, transaksi petty"
1,2025,5,"penjualan, berbasis website, pengelolaan, patikraja, phpstan"
1,2026,1,"rekomendasi pola, pola hidup, gizi rekomendasi, pakar gizi, generasi muda"
2,2018,12,"dinas, berbasis web, kabupaten purbalingga, administrasi, daerah kabupaten"
2,2019,8,"pengelolaan, berbasis web, administrasi kependudukan, informasi akademik, purbalingga"
2,2020,2,"bidang koperasi, aset desa, dinas koperasi, kabupaten purbalingga, tugas"
2,2021,7,"surat, rekam medis, desa, pelayanan administrasi, berbasis web"
2,2022,7,"perjalanan dinas, dinas, negeri, purbalingga, berbasis web"
2,2023,4,"anak yatim, kabupaten purbalingga, informasi pengelolaan, pegawai, pengelolaan anak"
2,2025,1,"bot telegram, komputerisasi sekolah, negeri kutasari, sekolah mengolah, mengolah nilai"
3,2019,1,"aksara katakana, bahasa jepang, back propagation, syaraf tiruan, kana aksara"
3,2020,1,"pengukuran jaringan, merancang jaringan, quality service, prinsip kerja, cycle ndlc"
3,2021,3,"foraminifera benthonik, benthonik, image recognition, iso 27001, alat"
3,2022,2,"machine learning, kelurahan berkoh, rekomendasi gaya, hotspot captive, jaringan hotspot"
3,2023,5,"thalassemia minor, screening thalassemia, clustering, code splitting, aplikasi screening"
3,2024,9,"inceptionv3, gempa bumi, klasifikasi, backpropagation, resnet"
3,2025,6,"algoritma, wazuh, anomali, logrhythm, resnet"
3,2026,2,"supabase postgresql, skenario leakage, preprocessing, firebase firestore, firebase"
4,2018,1,"item build, build hero, aplikasi rekomendasi, tsukamoto berbasis, hero game"
4,2020,1,"cognitive walkthrough, heuristic evaluation, evaluation, heuristic, walkthrough heuristic"
4,2022,2,"game edukasi, jenis sampah, siswa, posttest, puspa kuncup"
4,2023,8,"game edukasi, pembelajaran, level, hijaiyah, game development"
4,2024,6,"game edukasi, edukasi berbasis, gdlc, game development, media pembelajaran"
4,2025,6,"edukasi, game edukasi, npc, pengembangan game, leaderboard"
5,2019,1,"tanaman padi, pakar penyakit, dibutuhkan tanaman, padi sumber, padi penyakit"
5,2021,1,"non stemming, opini negatif, stemming stemming, precision dataset, recall dataset"
5,2022,1,"usia kelahiran, f1_score, aplikasi prediksi, vector machine, accuracy"
5,2023,8,"lagu, analisis sentimen, naïve, naïve bayes, negatif"
5,2024,7,"analisis sentimen, naïve, naïve bayes, recall, negatif"
5,2025,3,"majas, naive bayes, naive, korelasi, grit"
5,2026,1,"kernel rbf, analisis sentimen, ulasan negatif, spam, spam call"
6,2018,1,"homestay, homestay budaya, pemesanan homestay, based service, kabupaten banyumas"
6,2019,4,"event organizer, kesenian, hiburan kesenian, jasa hiburan, portofolio"
6,2021,2,"agen travel, instansi museum, museum digital, meningkatkan rating, sektor pariwisata"
6,2022,2,"vendor wedding, ant colony, colony optimization, cheapest insertion, insertion heuristic"
6,2023,2,"desa wisata, wisata limbasari, limbasari purbalingga, purbalingga, framework laravel"
6,2024,3,"gambar objek, destinasi wisata, algoritma genetika, skor bleu, wisata purbalingga"
7,2019,1,"pendeteksi pengenalan, viola jones, pelanggan membership, wajah mengidentifikasi, cctv perusahaan"
7,2020,1,"hidden markov, kecerdasan buatan, diciptakan pendukung, ilmu menerapkan, mesin salah"
7,2021,1,"lawang sewu, sewu teknologi, covid, monitoring suhu, internet things"
7,2024,9,"deteksi, kehadiran, wajah, bahasa isyarat, precision"
7,2025,1,"deteksi objek, tunanetra, precision, suara, lingkungan"
8,2019,2,"pendataan disabilitas, berbasis komunitas, membuka lowongan, alumni informasi, keterampilan"
8,2020,3,"kampung marketer, pegawai, daya manusia, sikcp, penggajian"
8,2021,3,"mitra statistik, kinerja mitra, penilaian kinerja, peserta pkl, kampung marketer"
8,2022,5,"pegawai, pertanian, hadiyani partners, kepala bidang, sayur buah"
8,2023,1,"based test, seb mengurangi, seb, exam browser, browser seb"
