rank_overall,rank_in_model,model,scenario_id,scenario_source,selection_stage,pareto_score,objective_score,coherence_cv,topic_diversity,runtime_seconds,num_topics,num_outliers,outlier_pct
1,1,BERTopic,bertopic_grid_004,grid,rerank_reduce_outliers,0.8787694465205858,0.63911,0.5161,0.8714,88.25,7,1.0,0.21
2,2,BERTopic,bertopic_grid_002,grid,rerank_reduce_outliers,0.8394512220069379,0.64139,0.4722,0.9556,105.7,9,0.0,0.0
3,3,BERTopic,bertopic_preset_fine_grained,preset,rerank_reduce_outliers,0.8030245236988243,0.61634,0.4713,0.8857,92.72,7,0.0,0.0
4,4,BERTopic,bertopic_grid_001,grid,rerank_reduce_outliers,0.7060403491646547,0.58927,0.41,0.9222,102.08,9,0.0,0.0
5,5,BERTopic,bertopic_grid_006,grid,screening,0.6251521562279316,0.387329,0.4514,0.9667,67.97,6,183.0,38.69
6,6,BERTopic,bertopic_grid_005,grid,screening,0.606546881333474,0.419616,0.403,0.9,31.0,9,129.0,27.27
7,7,BERTopic,bertopic_preset_default,preset,rerank_reduce_outliers,0.597221984387722,0.551695,0.3257,0.9714,89.7,7,0.0,0.0
8,8,BERTopic,bertopic_preset_coarse,preset,screening,0.5769978372997406,0.374673,0.4305,0.9111,58.23,9,177.0,37.42
9,9,BERTopic,bertopic_grid_003,grid,screening,0.523801606701609,0.391971,0.3892,0.9222,79.65,9,151.0,31.92
10,1,LDA,lda_preset_fewer_topics,preset,single_pass,0.34430655255021503,0.252445,0.3482,0.725,9.39,8,,
11,2,LDA,lda_preset_more_topics,preset,single_pass,0.3038990382021974,0.220455,0.3834,0.575,9.83,20,,
12,3,LDA,lda_grid_007,grid,single_pass,0.19977000665402847,0.178657,0.3486,0.5125,9.81,8,,
13,4,LDA,lda_grid_005,grid,single_pass,0.19048859516943134,0.17425,0.3485,0.5,10.4,8,,
14,5,LDA,lda_grid_011,grid,single_pass,0.18757080133252468,0.175172,0.3418,0.5125,10.37,8,,
15,6,LDA,lda_grid_008,grid,single_pass,0.18468964439176788,0.175875,0.335,0.525,9.98,12,,
16,7,LDA,lda_preset_default,preset,single_pass,0.1791461481047967,0.17095,0.3419,0.5,10.52,12,,
17,8,LDA,lda_grid_003,grid,single_pass,0.16529952157056366,0.159979,0.3459,0.4625,5.69,8,,
18,9,LDA,lda_grid_002,grid,single_pass,0.15053077723840996,0.152075,0.3476,0.4375,6.27,8,,
19,10,LDA,lda_grid_010,grid,single_pass,0.14747144063611245,0.157536,0.3282,0.48,5.63,10,,
20,11,LDA,lda_grid_001,grid,single_pass,0.1425565308101785,0.15656,0.3296,0.475,9.58,12,,
21,12,LDA,lda_grid_012,grid,single_pass,0.14182547695641792,0.15637,0.3292,0.475,9.64,12,,
22,13,LDA,lda_grid_009,grid,single_pass,0.1376717460053369,0.146582,0.3449,0.425,6.21,8,,
23,14,LDA,lda_grid_004,grid,single_pass,0.13282298117399943,0.154693,0.3157,0.49,5.77,10,,
24,15,LDA,lda_grid_006,grid,single_pass,0.12027401265337484,0.144568,0.3273,0.4417,5.94,12,,
