model,scenario_id,scenario_source,status,coherence_cv,topic_diversity,objective_score,raw_score,num_topics,runtime_seconds,params,scenario_meta
LDA,lda_preset_fewer_topics,preset,ok,0.3482,0.725,0.252445,0.252445,8,10.77,"{""num_topics"": 8, ""passes"": 20, ""iterations"": 400, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 5, ""no_above"": 0.5}","{""preset_name"": ""fewer_topics""}"
LDA,lda_preset_more_topics,preset,ok,0.3834,0.575,0.220455,0.220455,20,11.01,"{""num_topics"": 20, ""passes"": 20, ""iterations"": 500, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""auto"", ""no_below"": 3, ""no_above"": 0.6}","{""preset_name"": ""more_topics""}"
LDA,lda_grid_007,grid,ok,0.3486,0.5125,0.178657,0.178657,8,11.16,"{""num_topics"": 8, ""passes"": 20, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}","{""num_topics"": 8, ""passes"": 20, ""iterations"": 200, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_grid_008,grid,ok,0.335,0.525,0.175875,0.175875,12,11.42,"{""num_topics"": 12, ""passes"": 20, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}","{""num_topics"": 12, ""passes"": 20, ""iterations"": 300, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_grid_011,grid,ok,0.3418,0.5125,0.175172,0.175172,8,11.74,"{""num_topics"": 8, ""passes"": 20, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}","{""num_topics"": 8, ""passes"": 20, ""iterations"": 300, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_grid_005,grid,ok,0.3485,0.5,0.17425,0.17425,8,11.88,"{""num_topics"": 8, ""passes"": 20, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}","{""num_topics"": 8, ""passes"": 20, ""iterations"": 300, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_preset_default,preset,ok,0.3419,0.5,0.17095,0.17095,12,11.31,"{""num_topics"": 12, ""passes"": 20, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}","{""preset_name"": ""default""}"
LDA,lda_grid_003,grid,ok,0.3459,0.4625,0.159979,0.159979,8,6.71,"{""num_topics"": 8, ""passes"": 10, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}","{""num_topics"": 8, ""passes"": 10, ""iterations"": 200, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_grid_010,grid,ok,0.3282,0.48,0.157536,0.157536,10,6.48,"{""num_topics"": 10, ""passes"": 10, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}","{""num_topics"": 10, ""passes"": 10, ""iterations"": 200, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_grid_001,grid,ok,0.3296,0.475,0.15656,0.15656,12,11.28,"{""num_topics"": 12, ""passes"": 20, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}","{""num_topics"": 12, ""passes"": 20, ""iterations"": 200, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
