id,title,year,cleaned_token_count,processed_token_count
1,"Perbandingan Metode Grid Search, Random Search, dan Bayesian Optimization dalam Optimasi Hyperparameter Model BERT untuk Analisis Sentimen pada Platform X terhadap Website Coretax",2026,428,230
2,"Klasterisasi Produktivitas Pertanian di Kabupaten Batang Berdasarkan Luas Lahan, Hasil Panen, dan Penggunaan Pupuk Menggunakan K-Medoids Berbasis Website",2026,537,306
3,Implementasi Algoritma Holt-Winters Exponential Smoothing Untuk Prediksi Jumlah Wisatawan Objek Wisata Owabong Waterpark Purbalingga Berbasis Visualisasi Streamlit,2026,367,215
4,Pengembangan Aplikasi Text Mining untuk Mengekstraksi Informasi Poin Penting menggunakan Algoritma Support Vector Machine,2026,254,152
5,Implementasi LSTM Untuk Prediksi Konsumsi Kalori Harian Berdasarkan Data Neraca Bahan Makanan Kementerian Pertanian,2026,430,270
6,Analisis Perbandingan Performa Firebase Firestore dan Supabase PostgreSQL Aplikasi Inventaris Menggunakan Flutter Berbasis Mobile,2026,580,338
7,Implementasi Algoritma Dijkstra dalam Sistem Informasi Geografis Pemetaan Lokasi Pengumpulan Sampah Organik untuk Kelompok Nasabah PNM di Banyumas,2026,399,258
8,Klasterisasi Data Pemohon Paspor Berdasarkan Karakteristik Pemohon Menggunakan Algoritma K-Prototypes Berbasis Aplikasi Website di Kantor Imigrasi Cilacap,2026,526,320
9,Implementasi Sistem Pendukung Keputusan Dalam Penentuan Jalur Pendakian Gunung Menggunakan Fuzzy Multi Atribute Decision Making (Fuzzy Madm) Dengan Metode Topsis (Studi Kasus: Muncak.Id),2026,585,329
10,Perbandingan React Native dan Flutter dalam Pengembangan Sistem Aplikasi Kasir Resto,2026,575,314
11,Pengembangan Sistem Layanan Uji Laboratorium Lingkungan pada Dinas Lingkungan Hidup Kabupaten Grobogan Berbasis Website menggunakan Laravel,2026,470,281
12,Implementasi Chatbot Konseling Multi-Agent dengan Retrieval-Augmented Generation (RAG) untuk Dukungan Kesehatan Mental pada Platform Telegram,2026,331,212
13,Pengembangan Executive Information System (EIS) Berbasis Business Intelligence untuk Monitoring Kinerja Kelembagaan DPRD Kabupaten Ciamis,2026,502,337
14,Implementasi Algoritma Random Forest dan Isolation Forest untuk Prediksi Performa dan Deteksi Anomali pada Monitoring Ayam Broiler Berbasis Website dengan Metode Agile,2026,480,275
15,Integrasi Large Language Model dan Retrieval-Augmented Generation Gemini Sebagai Ai Assistant Sistem Manajemen Proyek Tall Stack,2026,374,253
16,Pengembangan Aplikasi End User Computing - Credit Document And Control (EUC-CDC) Tools sebagai Platform Digitalisasi dan Business Intelligence untuk Monitoring Dokumen Agunan Berbasis Web,2026,402,277
17,Implementasi Sistem Pakar Gizi Menggunakan Metode Fuzzy Logic dan Decision Tree untuk Diagnosa Status Gizi dan Rekomendasi Pola Hidup Sehat pada Generasi Muda,2026,227,145
18,Implementasi Retrieval-Augmented Generation pada Asisten Virtual untuk Peningkatan Layanan Informasi dalam Pengembangan Website Siwur Berbasis Tall Stack,2026,503,290
19,Analisis Pengaruh Strategi Preprocessing terhadap Risiko Data Leakage dalam Pengembangan Model Machine Learning,2026,514,297
20,Evaluasi dan Pengembangan Antarmuka Pengguna Aplikasi SIKAP Berbasis Prinsip UX dengan Metode Design Sprint dan Laravel Framework,2026,599,371
21,Analisis Sentimen Ulasan Pengguna Aplikasi Getcontact di Google Play Store menggunakan Metode InSet Lexicon dan Support Vector Machine dengan Perbandingan Kernel,2026,605,342
22,Implementasi Metode RAD dalam Pengembangan Sistem Penilaian Kinerja dan Knowledge Management System Berbasis Web Menggunakan Framework Laravel pada ULT Kemendikdasmen,2026,404,256
23,Sistem Pakar Rekomendasi Obat Bebas dan Obat Bebas Terbatas Menggunakan Metode Dempster-Shafer Theory untuk Mendukung Gerakan Masyarakat Cerdas Menggunakan Obat,2026,235,128
24,Implementasi Large Language Model sebagai Tutor Personal Siswa menggunakan Metode Retrieval Augmented Generation pada Learning Management System untuk Meningkatkan Pemahaman Siswa,2025,525,312
25,Analisis Perbandingan Performa Websocket Menggunakan Pusher Dan Laravel Reverb Pada Implementasi Live Cam Website Muncak.Id,2025,954,614
26,Analisis Perbandingan Stabilitas Koneksi Virtual Private Network (VPN) Point-To-Point Tunneling Protocol (PPTP) Dan Secure Socket Tunneling Protocol (SSTP) Berbasis Mikrotik,2025,419,259
27,Pengembangan Sistem Konsultasi Ai Dengan Large Language Model (Llm) Dan Retrieval-Augmented Generation (Rag) Gemini Pada Website Farmaku Berbasis Tall Stack,2025,459,277
28,Sistem Pakar untuk Diagnosis Penyakit Gigi dan Mulut pada Anak dengan Metode Forward Chaining Berbasis Website,2025,344,217
29,Implementasi Metode Certainty Factor dalam Diagnosa Penyakit dan Hama pada Tanaman Pangan Berbasis Website,2025,315,158
30,Analisis Komparatif Laravel dan AdonisJS dalam Pengembangan Aplikasi Lelang Agro,2025,529,277
31,Implementasi Metode Autoregressive Integrated Moving Average (ARIMA) untuk Prediksi Jumlah Wisatawan Objek Wisata Guci Tegal Dengan Visualisasi Website Menggunakan Framework Streamlit,2025,363,216
32,Optimasi Proses Pendaftaran Event Pada Chatbot Whatsapp dengan Named Entity Recognition dan Validasi Entitas Berbasis Koreksi Pengguna,2025,342,198
33,Pengembangan Sistem Pengelolaan Seminar Nasional Informatika dan Komputer (SENIKO) Berbasis Next.js serta Analisis Kinerja Sistem pada Native Dan Containerized Environment,2025,354,187
