Topic,Words,Frequency,Timestamp
0,"kabupaten, purbalingga, mysql, waterfall, penjualan",27,2018-01-01
0,"waterfall, mysql, pengelolaan, kabupaten, dibangun",30,2019-01-01
0,"umkm, sampah, purbalingga, rancang, penjualan",16,2020-01-01
0,"waterfall, rancang, mysql, bimbingan, purbalingga",33,2021-01-01
0,"waterfall, penjualan, framework, mysql, purbalingga",23,2022-01-01
0,"purbalingga, wisata, pengelolaan, waterfall, penjualan",17,2023-01-01
0,"web, administrasi, bleu, purbalingga, destinasi",9,2024-01-01
0,"umkm, penjualan, pengelolaan, operasional, transaksi",6,2025-01-01
0,"unit, sampah, laboratorium, pengelolaan, perancangan",2,2026-01-01
1,"organisasi, pupuk, daerah, pengelolaan, kinerja",18,2018-01-01
1,"unsoed, monitoring, pakar, tugas, produksi",11,2019-01-01
1,"organisasi, tanaman, soedirman, monitoring, perancangan",4,2020-01-01
1,"website, unsoed, usability, kelas, dibangun",9,2021-01-01
1,"pengelolaan, unsoed, arsitektur, perancangan, website",20,2022-01-01
1,"kriteria, alat, film, karyawan, monitoring",14,2023-01-01
1,"unsoed, kinerja, pengelolaan, laporan, kerja",25,2024-01-01
1,"website, penyakit, penilaian, audit, pengelolaan",20,2025-01-01
1,"kinerja, rekomendasi, pengelolaan, dprd, kriteria",7,2026-01-01
2,"market, syaraf, steam, beli, keuntungan",1,2019-01-01
2,"strategis, pusat, dikeluarkan, survei, pasar",1,2020-01-01
2,"foraminifera, risiko, kalori, sehat, recognition",4,2021-01-01
2,"machine, training, optimization, heuristic, vector",4,2022-01-01
2,"clustering, recall, bayes, klasifikasi, precision",8,2023-01-01
2,"klasifikasi, penyakit, cluster, machine, precision",17,2024-01-01
2,"risiko, algoritma, streamlit, klasterisasi, penyakit",14,2025-01-01
2,"performa, forest, preprocessing, machine, mape",7,2026-01-01
3,"suara, markov, berbasiskan, flutter, alat",2,2020-01-01
3,"questionnaire, usability, responden, form, pelanggan",1,2021-01-01
3,"mobil, rusak, pattern, mvvm, architecture",2,2022-01-01
3,"bengkel, lokasi, deteksi, dipenuhi, energi",1,2023-01-01
3,"deteksi, mobil, isyarat, filtering, karies",10,2024-01-01
3,"deteksi, objek, relevan, precision, website",7,2025-01-01
3,"agent, mental, assistant, kesehatan, context",3,2026-01-01
4,"build, tsukamoto, game, simulasi, apliksi",1,2018-01-01
4,"cognitive, evaluation, heuristic, menemukan, pemain",1,2020-01-01
4,"stemming, dataset, bayes, mining, recall",1,2021-01-01
4,"bayes, game, stemming, naïve, negatif",9,2023-01-01
4,"bayes, naïve, saham, negatif, game",6,2024-01-01
4,"sentimen, pemain, bayes, naive, classifier",7,2025-01-01
4,"kernel, rbf, negatif, lexicon, ketidakakuratan",1,2026-01-01
5,"edukasi, menu, sampah, siswa, level",2,2022-01-01
5,"edukasi, pembelajaran, pengetahuan, development, bisindo",8,2023-01-01
5,"game, edukasi, pembelajaran, asesmen, peralatan",6,2024-01-01
5,"edukasi, pembelajaran, motivasi, pengetahuan, asesmen",3,2025-01-01
6,"membership, produk, material, fasilitas, ditinjau",2,2019-01-01
6,"pembelian, optimalisasi, mining, produk, ritel",2,2021-01-01
6,"clustering, nasabah, confidence, pemasaran, investor",7,2024-01-01
6,"produk, clustering, penjualan, investasi, moora",8,2025-01-01
7,"power, mesin, chaining, performa, laravel",1,2018-01-01
7,"performa, golang, kotlin, postgresql, ram",3,2024-01-01
7,"laravel, performa, server, beban, throughput",14,2025-01-01
7,"flutter, performa, kasir, bayesian, laravel",2,2026-01-01
8,"syaraf, tiruan, serapan, prototyping, mengenali",1,2019-01-01
8,"mikrotik, mengakses, membagi, qos, kedalam",1,2020-01-01
8,"server, client, network, akses, dipercaya",1,2022-01-01
8,"pemuatan, server, react, engine, efektivitas",2,2023-01-01
8,"kerentanan, sql, endpoint, algoritma, website",4,2024-01-01
8,"deteksi, anomali, latency, kerentanan, serangan",6,2025-01-01
8,"postgresql, latency, firebase, performa, throughput",1,2026-01-01
