model,scenario_id,objective_score,coherence_cv,topic_diversity,runtime_seconds,num_topics,objective_norm,coherence_norm,diversity_norm,runtime_norm,composite_score,rank
BERTopic,bertopic_014,0.613155,0.4587,0.9,82.63,9,1.0,0.47350190509179074,0.853658536585366,0.8829424640400251,0.8069294020466118,1
BERTopic,bertopic_018,0.61036,0.4544,0.9,68.4,11,0.9954416093809885,0.4586075510910981,0.853658536585366,0.9051907442151345,0.8015222340766042,2
BERTopic,bertopic_009,0.610945,0.4553,0.9,105.41,9,0.9963956911384559,0.4617249740214755,0.853658536585366,0.8473264540337712,0.7999935832375097,3
BERTopic,bertopic_007,0.607925,0.4387,0.9222,99.77,9,0.9914703459973417,0.40422583997228945,0.8969756097560976,0.8561444652908068,0.7896317529062505,4
BERTopic,bertopic_011,0.5998,0.4724,0.8364,130.6,11,0.9782192104769594,0.520956009698649,0.7295609756097562,0.807942464040025,0.7827947659481789,5
BERTopic,bertopic_012,0.60578,0.4249,0.9417,124.82,12,0.9879720462199607,0.3564253550398337,0.9350243902439025,0.8169793621013133,0.7793688734647786,6
BERTopic,bertopic_019,0.598075,0.4404,0.8909,156.48,11,0.9754058924741705,0.41011430550744715,0.8359024390243903,0.767479674796748,0.7675214148103263,7
BERTopic,bertopic_004,0.59203,0.4409,0.8727,134.27,11,0.9655470476470059,0.4118462071354347,0.8003902439024391,0.8022045028142589,0.7582383075029838,8
BERTopic,bertopic_002,0.58476,0.4316,0.8692,149.48,13,0.9536903393106146,0.37963283685486654,0.793560975609756,0.7784240150093809,0.7406838996186568,9
BERTopic,bertopic_016,0.582305,0.4247,0.875,113.98,12,0.9496864577472254,0.35573259438863875,0.8048780487804879,0.833927454659162,0.7367506667918987,10
BERTopic,bertopic_020,0.580965,0.4361,0.85,136.79,10,0.9475010397044792,0.3952199515067543,0.7560975609756098,0.7982645403377111,0.7360741925310496,11
BERTopic,bertopic_017,0.579405,0.4008,0.9111,97.82,9,0.9449568216845659,0.2729476965708347,0.8753170731707318,0.8591932457786117,0.725137955652382,12
BERTopic,bertopic_015,0.566715,0.4362,0.8091,121.52,11,0.9242605866379626,0.3955663318323518,0.6762926829268293,0.8221388367729832,0.7109526419608038,13
BERTopic,bertopic_006,0.55899,0.3646,0.92,131.72,10,0.9116618147124299,0.14755801870453747,0.8926829268292684,0.8061913696060038,0.6733613760781086,14
BERTopic,bertopic_001,0.567275,0.3935,0.89,647.36,10,0.925173895670752,0.24766193280221685,0.8341463414634147,0.0,0.6574561011851865,15
BERTopic,bertopic_010,0.0,0.6107,0.95,20.08,2,0.0,1.0,0.9512195121951219,0.9807379612257661,0.5392808005003127,16
BERTopic,bertopic_003,0.0,0.6107,0.95,25.98,2,0.0,1.0,0.9512195121951219,0.9715134459036898,0.5388195747342088,17
BERTopic,bertopic_008,0.0,0.5635,0.9,19.52,2,0.0,0.836508486317977,0.853658536585366,0.9816135084427767,0.4707649286346052,18
BERTopic,bertopic_013,0.12472199999999997,0.4344,0.975,85.57,4,0.20341023069207617,0.3893314859715968,1.0,0.8783458411507192,0.4522513416604493,19
BERTopic,bertopic_005,0.12472199999999997,0.4344,0.975,86.23,4,0.20341023069207617,0.3893314859715968,1.0,0.8773139462163853,0.45219974691373255,20
LDA,lda_009,0.220312,0.3525,0.625,8.04,8,0.35930882077125686,0.10564599930723925,0.3170731707317073,0.9995622263914947,0.30677551460515357,21
LDA,lda_019,0.209642,0.3755,0.5583,11.63,12,0.341907021878644,0.1853134741946657,0.18692682926829268,0.9939493433395873,0.2965350351244274,22
LDA,lda_003,0.209642,0.3755,0.5583,11.74,12,0.341907021878644,0.1853134741946657,0.18692682926829268,0.9937773608505316,0.29652643599997464,23
